finnish,english
on,there is
ei,No
ja,and
se,it
hän,he
en,I don't
mitä,what
että,that
ole,don't be
olen,I am
oli,was
niin,so
mutta,but
sen,its
vain,only
minä,I
jos,if
tämä,this
nyt,now
voi,Oh
sinä,you
olet,are
kun,when
sitä,the
kuin,than
he,they
hänen,his
täällä,here
olla,be
et,you don't
kaikki,all
minun,my
ovat,are
hyvä,good
minua,me
sitten,then
onko,is
miksi,why
sinua,you
miten,how
sinun,your
älä,do not
siitä,thence
hänet,him
mitään,any
kyllä,Yes
kiitos,thanks
hei,Hello
mikä,What
olisi,would be
ne,they
kanssa,with
pitää,keep
joka,which
ollut,been
tai,or
häntä,him
tässä,here
tiedä,don't know
minulle,me
minulla,i have
jotain,something
ehkä,perhaps
missä,where
tuo,that
minut,me
me,we
oletko,are you
kuka,Who
hyvin,very
anteeksi,Sorry
vielä,yet
tämän,this
sinut,thee
sinulle,to you
jo,already
koska,because
haluan,i want
olemme,are
tiedän,i know
tehdä,make
tänne,here
meidän,our
emme,we don't
saa,weather
tule,come on
paljon,much
siellä,there
anna,give
eivät,they don't
tätä,this
pois,off
ennen,before
sinulla,you have
täytyy,must
aina,always
tulee,will come
siinä,there
enää,any more
eikö,isn't it
takaisin,back
herra,Mr.
mistä,whence
selvä,clear
yksi,one
te,you
juuri,just
näin,thus
halua,desire
pitäisi,should
kuinka,how
vai,or
koko,size
joku,someone
meillä,at our house
olin,i was
kaksi,two
hänelle,him
mennä,go
koskaan,ever
tästä,from here
tietää,know
kai,probably
mies,man
joten,so
aivan,right
voin,I can
ihan,quite
no,Well
siis,therefore
totta,TRUE
isä,father
entä,how about
aika,time
siihen,thereto
mene,go
oikein,properly
kuten,as
vähän,little
olette,are
edes,at least
teet,you do
äiti,mother
eikä,and not
todella,really
hyvää,good
voit,you can
aikaa,time
kukaan,anyone
haluat,you want
mukaan,by
kunnossa,okay
minusta,about me
itse,self
myös,also
vaan,but
sanoi,quoth
sillä,for
kaiken,all
ettei,lest
noin,about
ulos,out
hänellä,he has
auttaa,help
taas,again
jälkeen,after
tulla,become
katso,Look
pidä,keep
heidän,their
päästä,get
puhua,talk
tänään,today
sinusta,about you
pahoillani,I'm sorry
kerro,tell me
tuli,fire
vaikka,although
niitä,them
etkö,Don't you
liian,too
meitä,us
kotiin,home
tee,tea
muuta,change
näyttää,show
teidän,your
vuotta,years
kiinni,Closed
nähdä,see
ilman,free
tapahtui,happened
nämä,these
sinne,there
mennään,let's go
heti,immediately
sanoa,say
jotka,that
haluatko,do you want
varmasti,certainly
ette,you don't
saat,you get
tähän,over here
antaa,give
tiedät,you know
kolme,three
tarvitse,need
haluaa,wants to
kertoa,tell
ota,please take
meidät,us
pian,soon
odota,Wait
saada,get
menee,goes
teitä,you
nähnyt,seen
teen,i do
hänestä,about him
luoja,Creator
tehnyt,done
enemmän,more
täältä,from here
tekee,does
sanoin,I said
vastaan,against
n,of
usko,faith
heidät,them
olevan,to be
takia,because of
sisään,in
käy,ok
poika,son
jonka,whom
voimme,we can
olit,you were
asia,thing
heitä,them
olivat,were
sain,i got
meille,us
piti,had to
luulin,i thought
varmaan,will
yhä,still
sano,say
hienoa,great
tuon,that
ikinä,ever
tuolla,there
teille,to you
tiedätkö,You know
varma,sure
yhdessä,together
rakastan,i love
joo,Yeah
juttu,thing
tarvitsen,i need
kuollut,dead
siksi,therefore
voisi,could
oikeassa,right
ottaa,take
ajan,for
kerran,once
mihin,where
lähteä,go
minne,where
yhtä,equally
tappaa,kill
teki,did
valmis,ready
toinen,second
tapahtuu,is happening
ihmiset,people
pidän,I like
silloin,then
hauskaa,fun
voinut,could
tulen,i will
pitänyt,kept
tyttö,girl
teillä,you have
teidät,you guys
nainen,woman
rouva,Mrs.
kyse,about
kauan,long
rahaa,money
ensin,initially
enkä,and i don't
yksin,alone
joskus,sometimes
olisin,I would be
tosi,TRUE
lisää,more
apua,Help
tuota,that
sai,got
oliko,was
lopeta,stop it
kulta,gold
meni,went
päivä,day
pari,couple
tällä,bridge
kertaa,times
tohtori,doctor
tuntuu,feel
menen,i go
päivää,days
jotta,so
huomenna,tomorrow
myöhemmin,later
uusi,new
tavata,meet
sanoit,you said
niinkö,Really
älkää,start
halusin,I wanted to
nähdään,See you
ainoa,only
odottaa,expect
saanut,received
jonkun,someone
milloin,When
minäkin,me too
saan,i can
etten,I don't
paras,best
yhden,one
silti,still
asiaa,matter
parempi,better
vie,takes
jota,whom
osaa,can
viime,last
alas,down
paikka,place
tein,I did
kuuluu,belongs
mikään,any
teit,you did
ihmisiä,people
ketään,nobody
ajattelin,I thought
ylös,up
okei,okay
jotakin,something
alkaa,start
miehen,male
ymmärrän,I see
hetki,moment
ohi,past
ymmärrä,understand
sama,same
hieman,slightly
yli,over
muista,remember
yritän,I'm trying
kuuntele,listen
oletteko,are you
sir,sir
tullut,came
pieni,small
oikea,right
riittää,suffice
tiennyt,knew
minkä,which
asioita,things
tulin,i came
jokin,one
isäni,my father
teemme,we do
neiti,miss
jossa,where
toivottavasti,hopefully
tarkoittaa,mean
vanha,old
kuoli,died in
poissa,away
läpi,through
voisin,i could
muuten,otherwise
soittaa,call
halunnut,wanted to
otan,I will take
haluaisin,I would like to
saanko,can i
pyydän,Please
minuun,to me
puhu,talk
nopeasti,quickly
oikeasti,for real
voinko,can i
kanssasi,with you
täysin,completely
nimi,name
kunnes,until
hyvältä,good
löytää,find
vasta,only
tarpeeksi,enough
iso,big
töitä,work
olisit,you would be
käyttää,use
poliisi,police
asti,until
heille,them
viisi,five
ettet,you don't
irti,loose
kohta,paragraph
kuulostaa,sound
luulen,I think
kuitenkin,however
tahansa,whatever
isäsi,your father
kiltti,kind
vuoden,a year
tulossa,pending
yrittää,try
samaa,the same
kiva,nice
ainakin,at least
tulkaa,come on
hiljaa,quietly
mukana,with
eli,or
sellaista,that kind of thing
miltä,how
pakko,forced
ensimmäinen,first
eilen,yesterday
neljä,four
rahat,money
kaunis,beautiful
pysy,stay
kello,clock
liikaa,over-
kuulin,I heard
tunnen,I feel
senkin,that too
mieltä,mind
varten,for
sanoo,says
mukava,comfortable
tarkoitat,you mean
dollaria,dollars
hitto,deuce
muut,other
kerron,I will tell
kotona,at home
asian,thing
kertonut,told
niistä,of them
melkein,almost
kertoi,told
näytä,show
sait,you got
siltä,bridge
meistä,about us
kuulla,hear
toisen,another one
tunne,feeling
paska,shit
kuullut,heard
kaveri,guy
näen,i see
hieno,fine
luulet,you think
eri,different
pysty,upright
halusi,wanted
jopa,even
uskoa,believe
tehdään,will be done
osa,part
hauska,fun
kapteeni,captain
olimme,we were
auta,help me
paitsi,except
uuden,new
kanssani,with me
äitisi,your mother
luuletko,Do you think
tänä,this
john,john
kanssaan,with him
puhut,you speak
vuoksi,because of
suoraan,directly
näytät,you show
kaikkea,everything
aikaan,at the time
päivän,of the day
haloo,Hello
mikset,why don't you
sieltä,from there
voitte,you win
kävi,happened
uskon,I believe
tietenkin,Of course
ystäväni,my friend
löysin,i found
minuuttia,minutes
asiat,things
hätää,don't worry
toki,Sure
maailman,world
nuo,those
tietysti,Of course
palaa,burn
kuule,Listen
pikku,little
tarvitsee,needs
jumala,God
maksaa,pay
tarvitsemme,we need
hetkinen,Wait a minute
new,new
auto,car
tuntia,hours
tapahtunut,happened
soita,call
sanonut,said
voitko,can you
mä,me
sille,for it
jää,ice
menossa,on
jolla,whereby
tervetuloa,welcome
lähellä,near
työtä,work
elää,live
kovin,very
pojat,boys
sanon,I say
ongelma,problem
yötä,night
jätä,drift net
hullu,crazy
saamme,we get
muita,others
sinuun,to you
näe,see
minulta,from me
tiesin,I knew
katsokaa,take a look
sellainen,such
jättää,leave
tavalla,way
ai,Oh
lapset,issue
aiemmin,previously
tapa,way
ensi,next
viedä,export
menkää,go
huomenta,Good morning
niiden,their
yhtään,any
jack,jack
yritä,try
muistatko,Do you remember
vuonna,in the year
tarkoitan,i mean
sopii,fits
parasta,the best
päivänä,on the day
äitini,my mother
viimeinen,last
helvetti,hell
soitan,I'm calling
onnea,Good luck
sehän,that's it
oma,own
terve,healthy
samoin,likewise
heillä,they have
välitä,choose
annan,i give
suuri,large
tiedämme,we know
ihminen,man
hoitaa,manage
vaivaa,trouble
huono,bad
hyvät,ladies
miestä,a man
jäädä,stay
tulit,you came
molemmat,both
heistä,of them
vaikea,difficult
sanot,you say
aamulla,in the morning
olkaa,be
kysyä,ask
väärin,wrong
väliä,matter
mahtavaa,awesome
paremmin,better
viitsi,I'm sorry
muka,supposedly
tulevat,are coming
päälle,on
monta,various
luo,round
kahden,the two of you
pääse,get in
vauhtia,speed
olleet,have been
valmiina,at the ready
teistä,of you
aio,going to
voivat,they can
käydä,visit
onneksi,fortunately
miehet,gentlemen
lähde,source
vastaa,answers
antoi,gave
syytä,the reason
haluavat,want to
takana,double cloth
joita,whom
naisen,a woman
lapsi,child
tuossa,there
lähden,i'm leaving
uudelleen,again
töissä,at work
rauhoitu,Take it easy
unohda,forget it
katsomaan,to watch
lähdetään,let's go
naiset,ladies
kaikkien,of everyone
aion,I'm going to
uutta,new
toimi,action
asiassa,in the matter
poikani,my son
saattaa,may
yritin,I tried
toimii,works
tärkeää,important
paha,evil
sisällä,indoors
uudestaan,re-
pidät,you like
tuskin,hardly
muistan,i remember
etkä,and you don't
lähti,Lahti
taitaa,know
ongelmia,problems
tarvitset,you need
tappoi,killed
menemme,we go
tunnin,-hour
sinulta,from you
kysymys,question
voisit,you could
ruokaa,food
näitä,these
kaikille,to everyone
haluatte,you want
iltana,in the evening
ovi,door
tekemään,to do
onkin,it is
sinäkin,you too
tehty,made
lapsia,children
elossa,alive
aikana,during
hoidan,I'll take care
outoa,strange
etsin,viewfinder
kestä,endure
ulkona,outdoors
kuolla,die
alkoi,started
menet,you go
muuttaa,change
kunhan,as long as
naimisiin,get married
aiot,you are going to
ase,gun
elämä,life
katsoa,look
lopettaa,stop
maan,terrestrial
michael,michael
tyyppi,type
häneen,to him
täynnä,full
hyviä,good ones
auton,car
tytön,a girl
voisimme,we could
vittu,damn
puhun,I'm talking
oikeastaan,really
yleensä,usually
avaa,open
puoli,half
sekä,mixed
hakemaan,to apply
joko,either
kuusi,six
tulet,you will
voisitko,will you please
toivon,I hope
vaikeaa,difficult
palata,return
olemaan,to be
laita,wing
hetken,for a moment
ystäviä,friends
jatkaa,continue
muu,other
ikävä,tedious
töihin,to work
tilanne,situation
mahdollista,possible
erittäin,very
hätänä,up
verta,blood
tekevät,they do
helvettiä,damn it
vaikuttaa,influence
seuraa,will follow
mukavaa,nice
homma,business
elämäni,my life
istu,sit down
paikan,place
pitkä,long
saisi,would get
luona,by
kuulemma,reportedly
lupaan,I promise
käynyt,visited
vaimoni,my wife
vettä,water
nuori,young
kaikkia,everyone
nimeni,my name
alla,below
ovatko,are they
auki,open
kenen,whose
pyytää,request
ollaan,let's be
saimme,we got
tehtävä,task
oman,own
yhteen,together
sä,you
kestää,take
sanotaan,it is said
paikalla,on the spot
taida,I guess
jokainen,every
haluamme,we want
saatte,you can
vihainen,mad
jutella,chat
puolesta,on behalf of
olekin,I am
antakaa,please give
teette,you do
ystävä,friend
turvassa,in security
eihän,no
usein,often
välillä,between
tytöt,the girls
uskomatonta,beyond belief
voittaa,win
josta,whereof
miksei,why not
luota,from
iloinen,cheerful
luottaa,trust
ihmisten,of people
häneltä,from her
näetkö,You see
illalla,in the evening
väärässä,wrong
yritti,tried